# fen|wdl|wdl state|dtz|dtz state from Stockfish 13 probe_wdl and probe_dtz, generated by tools/syzygy_reference.py
6B1/8/8/1Kr5/8/p7/8/5k2 w - - 0 1|0|1|0|1
6k1/8/8/8/3pP1K1/7P/8/8 w - - 0 1|2|1|1|2
8/8/K3n3/4kn2/1r6/8/8/8 w - - 0 1|-2|1|-8|1
6R1/8/3b3k/8/8/8/K5P1/8 w - - 0 1|2|1|1|2
8/2K5/8/1k6/7P/4B3/8/8 b - - 0 1|-2|1|-2|2
8/4k3/8/8/8/K5p1/8/3b4 w - - 0 1|-2|1|-2|2
1K6/4Q3/1k6/8/8/5q2/8/8 w - - 0 1|0|1|0|1
8/6pp/8/8/6P1/7K/8/1k6 b - - 0 1|2|1|1|2
8/8/4n3/1k6/4K3/8/4R3/8 w - - 0 1|0|1|0|1
8/2R5/5q2/8/1k6/8/6K1/8 b - - 0 1|2|1|11|1
8/7n/1P1k2r1/8/8/8/1K6/8 w - - 0 1|-2|1|-4|1
8/4K3/2k5/8/8/3N4/8/1r6 b - - 0 1|0|1|0|1
7K/5p2/8/8/5k2/8/4b3/8 w - - 0 1|-2|1|-2|2
8/8/7k/8/8/NP6/3K4/8 w - - 0 1|2|1|1|2
8/2P5/8/8/p7/5N2/8/1K5k b - - 0 1|-2|1|-2|2
2k5/8/1n6/8/6K1/8/5P2/8 w - - 0 1|0|1|0|1
8/5b2/6k1/8/8/8/1K4P1/8 w - - 0 1|0|1|0|1
8/8/2P5/k7/8/8/K7/8 w - - 0 1|2|1|1|2
6k1/8/4K3/8/6p1/8/3P4/6r1 w - - 0 1|-2|1|-2|2
8/8/8/3n2k1/2p5/8/8/K7 b - - 0 1|2|1|1|2
8/3k3P/5K2/5r2/8/8/2q5/8 w - - 0 1|-2|1|-4|1
8/8/8/7k/8/8/2K1P3/8 w - - 0 1|2|1|1|2
4B3/3K4/5p2/8/8/2k3p1/8/8 b - - 0 1|2|1|1|2
4b3/2R5/4K1k1/8/8/4P3/8/8 b - - 0 1|-2|1|-2|2
8/3n4/4p3/7p/2k3K1/8/8/8 w - - 0 1|-2|1|-2|2
1K6/8/8/8/n7/8/4Q3/4k3 b - - 0 1|0|2|0|2
8/4k3/3n4/8/K7/p7/4q3/8 b - - 0 1|2|1|1|2
8/8/8/2R5/5k2/2r5/4K3/8 b - - 0 1|2|2|1|2
8/8/4P3/8/7n/8/4k3/6K1 b - - 0 1|0|1|0|1
7K/8/k7/8/3r4/8/4r1p1/8 b - - 0 1|2|1|1|2
8/1B6/n5kP/3K4/8/8/8/8 b - - 0 1|0|1|0|1
4k3/8/4r3/6R1/3K4/8/8/8 b - - 0 1|0|1|0|1
8/4K3/1R6/8/7n/3B4/8/6k1 w - - 0 1|2|1|7|1
8/3P3k/8/8/4n3/4p3/K7/8 w - - 0 1|2|1|1|2
8/8/1p2N3/8/8/4k3/8/K7 b - - 0 1|0|1|0|1
6k1/8/R7/2K5/8/8/3q4/4B3 w - - 0 1|2|2|1|2
5B2/1K6/8/8/5k2/8/8/8 w - - 0 1|0|1|0|1
8/6k1/8/8/N7/Kb6/8/5B2 w - - 0 1|2|2|1|2
7b/8/8/8/8/5k2/7K/8 b - - 0 1|0|1|0|1
7R/8/8/5k2/8/8/P7/7K b - - 0 1|-2|1|-2|2
8/3P4/2k4n/7K/8/8/8/8 b - - 0 1|0|1|0|1
4k3/8/8/4B3/5p2/1K6/2Q5/8 b - - 0 1|-2|1|-2|2
8/1K6/3R4/8/8/8/4P3/6k1 w - - 0 1|2|1|1|2
8/2p5/8/4K3/8/2n5/8/1k6 w - - 0 1|-2|1|-4|2
2K5/8/8/8/6k1/3R4/8/4R3 w - - 0 1|2|1|3|1
k7/3N4/8/8/4K3/8/2P5/8 b - - 0 1|-2|1|-2|2
4k2K/8/8/1PR5/8/8/8/8 b - - 0 1|-2|1|-2|2
8/8/3P4/K2k1p2/3b4/8/8/8 w - - 0 1|-2|1|-2|2
6r1/8/8/8/8/5kn1/8/7K w - - 0 1|-2|1|-4|1
8/K7/8/2pP1k2/8/8/5B2/8 w - c6 0 1|2|2|1|2
8/6K1/3k4/8/8/8/5Q2/7n w - - 0 1|2|1|3|1
8/8/6k1/8/6p1/5K2/8/8 w - - 0 1|0|1|0|1
8/8/7B/3r4/2k5/8/1K6/8 b - - 0 1|0|1|0|1
8/8/8/1p6/p2K4/8/2B4k/8 b - - 0 1|0|1|0|1
8/1P6/1K4P1/8/6k1/8/8/8 w - - 0 1|2|1|1|2
8/2P5/4P3/8/3P4/5k2/8/2K5 w - - 0 1|2|1|1|2
8/2K5/8/2k1p3/8/1P6/4P3/8 b - - 0 1|-2|1|-2|2
8/2k5/6n1/6K1/8/8/8/8 w - - 0 1|0|1|0|1
1n1K4/4p3/8/k7/8/8/8/5r2 w - - 0 1|-2|1|-2|2
8/7k/8/7P/8/5K2/6N1/3r4 w - - 0 1|0|1|0|1
6K1/8/8/8/4pPk1/8/8/8 b - f3 0 1|2|2|1|2
8/8/8/8/4K3/8/3k2N1/8 w - - 0 1|0|1|0|1
8/5p2/8/3N2q1/7k/8/8/7K b - - 0 1|2|2|1|2
8/8/6Kb/2N5/8/8/8/3nk3 b - - 0 1|0|1|0|1
8/8/8/4P3/3k1P2/8/n5K1/8 w - - 0 1|2|1|1|2
8/8/6P1/2np4/8/1K6/4k3/8 w - - 0 1|0|1|0|1
5r1N/1B6/8/k7/8/8/4K3/8 b - - 0 1|0|1|0|1
8/6K1/6P1/4B3/6k1/8/8/8 b - - 0 1|-2|1|-4|1
8/8/8/5pP1/8/8/1k1n4/6K1 w - f6 0 1|0|1|0|1
8/8/7k/4pP2/8/7K/5p2/8 w - e6 0 1|0|1|0|1
4r3/6kp/8/2K5/8/8/8/8 w - - 0 1|-2|1|-2|2
8/1n6/3k4/8/3p4/1K3p2/8/8 w - - 0 1|-2|1|-2|2
8/8/8/r6k/8/1P6/5K2/7N b - - 0 1|0|1|0|1
4K3/8/8/1p6/8/b7/6k1/8 b - - 0 1|2|1|1|2
8/1k6/8/8/8/4p1K1/7N/8 b - - 0 1|0|1|0|1
8/2kN3P/8/5K2/8/2b5/8/8 b - - 0 1|0|1|0|1
8/b1K5/8/8/8/3k4/8/8 b - - 0 1|0|1|0|1
8/1K6/8/k7/P7/8/8/6N1 b - - 0 1|0|1|0|1
8/8/8/3Pp3/8/6B1/k2K4/8 w - e6 0 1|2|2|1|2
r7/8/8/5k2/8/8/4K2B/8 w - - 0 1|0|1|0|1
8/4k3/8/8/8/K7/Q7/8 b - - 0 1|-2|1|-16|1
5K2/8/3Q4/1R4k1/8/3R4/8/8 b - - 0 1|-2|1|-2|1
8/4p3/8/b3q3/8/8/3K3k/8 w - - 0 1|-2|1|-2|2
8/8/4r3/1K6/7r/8/8/4k3 b - - 0 1|2|1|3|1
3k4/8/8/5Q2/8/5K2/4nR2/8 b - - 0 1|-2|1|-6|2
8/7q/2PK3k/8/8/2P5/8/8 w - - 0 1|-2|1|-6|1
8/P7/8/4p3/8/8/3k4/7K w - - 0 1|2|1|1|2
8/8/6k1/8/6P1/8/5K2/8 w - - 0 1|0|1|0|1
8/3k2K1/5B2/8/8/5Pp1/8/8 w - - 0 1|2|1|1|2
7K/8/b7/8/5p2/1P6/8/5k2 w - - 0 1|-2|1|-2|2
8/4k3/8/6Pp/1R4K1/8/8/8 w - h6 0 1|2|2|1|2
8/8/1K6/8/3k4/R1r5/8/R7 b - - 0 1|-2|1|-24|2
1K6/8/2k5/8/8/7B/5P2/8 b - - 0 1|-2|1|-2|2
7K/2k1r3/8/4q1P1/8/8/8/8 w - - 0 1|-2|1|-2|2
8/5R2/8/1k1b4/6K1/8/8/1N6 w - - 0 1|2|1|3|1
8/3k4/8/8/2Q2N2/8/4K3/8 w - - 0 1|2|1|7|1
8/3K4/8/8/8/7P/8/5k2 b - - 0 1|-2|1|-2|2
8/8/8/K5r1/1b6/8/8/1N2k3 w - - 0 1|0|1|0|1
8/4k3/8/8/7K/4p3/2q5/8 w - - 0 1|-2|1|-2|2
8/2K5/2r1k2N/8/8/8/1p6/8 w - - 0 1|-2|1|-2|2
3k1K2/8/8/R7/8/8/8/8 b - - 0 1|-2|1|-18|1
NN6/8/2K5/8/7B/4k3/8/8 w - - 0 1|2|1|19|1
6n1/8/8/8/4k3/8/8/1K6 b - - 0 1|0|1|0|1
8/4K3/8/Pp6/4k3/8/8/8 w - b6 0 1|2|2|1|2
4K3/8/8/8/8/8/3P4/N5k1 b - - 0 1|-2|1|-2|2
8/8/8/K4P2/2p5/1p6/1k6/8 b - - 0 1|2|1|1|2
8/8/8/4K2k/8/8/6B1/8 b - - 0 1|0|1|0|1
8/8/7K/8/1k6/5b2/8/8 b - - 0 1|0|1|0|1
8/2K5/2b5/3B4/3R4/8/8/5k2 w - - 0 1|2|2|1|2
5k2/8/8/3N4/8/8/8/3K4 b - - 0 1|0|1|0|1
8/7K/8/7r/q5k1/8/8/2n5 w - - 0 1|-2|1|-4|1
8/8/6pB/p7/7k/8/8/3K4 w - - 0 1|0|1|0|1
8/4p3/4P3/8/8/8/5k2/1K6 b - - 0 1|0|1|0|1
8/8/8/8/2k3n1/2R5/4K3/1b6 b - - 0 1|2|2|1|2
8/2P3k1/2K5/3p4/2p5/8/8/8 w - - 0 1|2|2|1|2
7R/1k6/5n2/4K3/8/8/2q5/8 w - - 0 1|-2|1|-10|1
8/8/7k/8/8/5P2/8/N5K1 b - - 0 1|-2|1|-8|2
8/8/8/3K4/5k2/8/1p2P3/8 b - - 0 1|2|1|1|2
8/k7/8/4K3/8/PP6/8/1B6 w - - 0 1|2|1|1|2
3k4/8/8/8/8/b6K/6P1/8 w - - 0 1|0|1|0|1
5K2/k7/8/5P2/1p4N1/8/8/8 b - - 0 1|0|1|0|1
8/7k/8/8/8/8/3p3K/B7 w - - 0 1|-2|1|-2|2
3q2R1/5p1k/8/8/8/6K1/8/8 w - - 0 1|2|2|1|2
k7/8/8/8/3pP3/K7/8/8 b - e3 0 1|2|2|1|2
8/B7/3K4/6N1/3P4/8/8/1k6 w - - 0 1|2|1|1|2
5K2/4R3/8/8/8/4P2P/8/k7 w - - 0 1|2|1|1|2
8/K7/5N1k/3N4/8/8/6p1/8 w - - 0 1|0|1|0|1
8/8/1k6/8/P7/2b5/6K1/8 w - - 0 1|0|1|0|1
3K4/2p5/8/8/4n3/8/4r3/1k6 b - - 0 1|2|1|1|2
8/5K2/8/8/8/1b6/r4p2/7k w - - 0 1|-2|1|-2|2
8/8/5P2/2K1p2k/8/8/8/8 w - - 0 1|2|1|1|2
8/8/8/2k5/2p5/3K4/8/8 w - - 0 1|0|1|0|1
8/8/8/4Pp2/8/8/2k5/7K w - f6 0 1|2|2|1|2
8/8/8/q1P5/8/k7/8/1K6 b - - 0 1|2|2|1|2
8/6r1/p7/8/8/8/1K1k4/8 b - - 0 1|2|1|1|2
R7/2K5/8/8/6k1/8/8/8 w - - 0 1|2|1|21|1
8/P5p1/4K3/8/8/8/kP6/8 b - - 0 1|-2|1|-2|2
1k3K2/8/8/pP6/8/8/8/8 w - a6 0 1|0|1|0|1
8/6P1/8/K7/8/N6n/4k3/8 b - - 0 1|-2|1|-2|2
8/8/8/4k2Q/8/8/K7/8 b - - 0 1|-2|1|-14|1
8/2K5/q7/8/1B6/1R6/6k1/8 b - - 0 1|2|1|2|1
8/8/6k1/8/3n4/8/8/K7 w - - 0 1|0|1|0|1
8/8/8/6p1/5k2/8/6K1/N4r2 w - - 0 1|0|1|0|1
1k6/2b5/8/8/8/K6P/5P2/8 w - - 0 1|0|1|0|1
8/5k2/2R5/Pp6/8/7K/8/8 w - b6 0 1|2|2|1|2
8/8/5K2/8/8/2k5/8/3bN3 b - - 0 1|0|1|0|1
5Q2/3K4/8/8/8/8/4k3/4b3 w - - 0 1|2|1|15|1
8/3r4/8/8/2p1K2p/k7/8/8 b - - 0 1|2|1|1|2
8/k2K4/8/8/8/5R2/8/8 w - - 0 1|2|1|5|1
3B4/8/2R5/8/8/8/2K1k3/8 w - - 0 1|2|1|11|1
8/6r1/8/8/8/p7/3KPk2/8 b - - 0 1|2|1|1|2
3k4/8/8/5Pp1/8/K7/8/8 w - g6 0 1|0|1|0|1
3K4/8/8/8/1B4k1/8/8/8 w - - 0 1|0|1|0|1
8/7p/8/8/5krK/8/r7/8 w - - 0 1|-2|1|-2|1
3K3k/8/8/4b3/8/8/3P4/8 b - - 0 1|0|1|0|1
2r5/K7/8/7n/5p2/5k2/8/8 w - - 0 1|-2|1|-4|1
8/8/8/k7/8/8/6pK/8 b - - 0 1|0|1|0|1
8/k7/7b/8/B6K/8/8/8 w - - 0 1|0|1|0|1
7k/8/8/8/5K2/1P6/8/1n6 b - - 0 1|0|1|0|1
8/8/5K2/8/k2P4/8/4R1p1/8 w - - 0 1|2|2|1|2
8/8/8/k2Pp3/8/5K2/8/8 w - e6 0 1|2|2|1|2
8/2b4r/8/2k5/8/8/4K3/1R6 b - - 0 1|0|1|0|1
6B1/b4k2/4P3/8/8/1K6/8/8 b - - 0 1|0|0|0|0
8/7k/8/8/8/3K4/4p3/8 b - - 0 1|2|1|1|2
8/8/8/8/3K1Pp1/8/8/2k5 b - f3 0 1|0|1|0|1
8/2kP3q/8/3K4/8/8/8/8 w - - 0 1|-2|1|-2|2
8/8/6K1/6b1/7r/8/1k6/8 b - - 0 1|2|1|15|1
7K/6P1/8/8/8/8/k7/8 w - - 0 1|2|1|1|2
1k2K3/2R3p1/4B3/8/8/8/8/8 w - - 0 1|2|2|1|2
8/3k4/8/3Pp3/8/8/8/5K2 w - e6 0 1|0|1|0|1
6k1/8/8/5P1P/8/5K2/8/8 b - - 0 1|-2|1|-4|2
8/8/8/2k5/2B3K1/8/8/8 b - - 0 1|0|1|0|1
8/5k2/8/8/5n2/8/8/2K5 b - - 0 1|0|1|0|1
8/2K5/8/8/2k2p2/8/7q/3n4 b - - 0 1|2|1|1|2
K7/8/2B2b2/3p4/8/8/8/7k b - - 0 1|0|1|0|1
7K/8/p3P3/8/7k/8/1R6/8 w - - 0 1|2|1|1|2
2B5/8/8/P7/3K4/p6k/8/8 b - - 0 1|-2|1|-4|1
8/4K3/n7/R3k3/8/3N4/8/8 b - - 0 1|-2|1|-2|2
8/8/8/8/5K2/6n1/7k/4R3 b - - 0 1|0|1|0|1
2k5/6N1/8/3pP3/2K5/8/8/8 w - d6 0 1|2|2|1|2
8/1b6/5q2/8/K6k/8/8/8 b - - 0 1|2|1|5|1
8/1k5b/7P/3P2K1/8/8/8/8 b - - 0 1|0|1|0|1
8/8/8/8/8/1k2r3/8/2Kr4 w - - 0 1|-2|2|-1|2
8/8/8/8/7k/3p4/5K2/8 b - - 0 1|0|1|0|1
5B2/3K4/8/8/5k2/q7/8/8 w - - 0 1|0|1|0|1
8/4R3/8/8/8/k6p/3Q4/5K2 w - - 0 1|2|1|3|1
8/8/5n2/8/8/k7/5K1p/5r2 w - - 0 1|-2|1|-2|2
8/1K2p3/7k/8/1R6/7r/8/8 w - - 0 1|0|1|0|1
5k2/4p3/8/4P3/8/3K4/6P1/8 w - - 0 1|2|1|1|2
4K3/8/2P5/k7/8/r7/8/2n5 w - - 0 1|0|1|0|1
8/8/3NP1q1/8/8/8/7K/4k3 w - - 0 1|-2|1|-2|2
8/2n3rr/8/8/4k3/K7/8/8 b - - 0 1|2|1|5|1
6k1/8/8/K7/8/8/8/1b3r2 b - - 0 1|2|1|17|1
8/8/2K5/8/2P3k1/6P1/3B4/8 w - - 0 1|2|1|1|2
K7/8/3k4/8/pP6/2n5/8/8 b - b3 0 1|2|2|1|2
7k/8/8/7K/8/8/8/4Q3 w - - 0 1|2|1|3|1
5K2/P7/8/8/8/1k5p/7p/8 w - - 0 1|2|1|1|2
8/7B/K7/8/1k6/8/1pp5/8 w - - 0 1|0|1|0|1
8/8/8/2R5/K5k1/1p6/8/3r4 w - - 0 1|0|1|0|1
6K1/8/2kr2R1/5q2/8/8/8/8 w - - 0 1|-2|1|-4|2
8/p7/8/8/8/8/1K3k2/8 b - - 0 1|0|1|0|1
8/8/1R6/8/8/2K5/1p6/3k4 w - - 0 1|2|2|1|2
8/8/5k2/5N2/8/5n2/8/5K2 b - - 0 1|0|1|0|1
8/2p5/K7/1p6/8/8/6p1/1k6 w - - 0 1|-2|1|-2|2
1k3r2/8/8/4N3/8/8/8/K7 w - - 0 1|0|1|0|1
8/7p/8/5K1p/2k5/8/8/2B5 b - - 0 1|0|1|0|1
7K/3k4/4p3/8/4r3/8/p7/8 b - - 0 1|2|1|1|2
8/6k1/6B1/3K1pP1/8/8/8/8 w - f6 0 1|2|2|1|2
8/8/8/8/8/8/3K1P2/2N2k2 b - - 0 1|0|1|0|1
5r2/6r1/8/8/8/1K5n/8/6k1 w - - 0 1|-2|1|-8|1
8/8/8/4pPK1/8/1k6/8/8 w - e6 0 1|2|2|1|2
8/2p5/7k/8/r7/2Q5/8/4K3 w - - 0 1|2|2|1|2
8/6P1/5k2/8/3K4/7n/8/8 w - - 0 1|2|1|1|2
8/2R5/3K4/8/8/2k5/8/1n6 b - - 0 1|0|1|0|1
2K5/8/8/8/Pp6/5k2/8/8 b - a3 0 1|2|2|1|2
8/8/8/8/r7/7k/5K2/3B4 w - - 0 1|0|1|0|1
8/8/8/3K4/1q6/8/k7/8 w - - 0 1|-2|1|-18|1
8/5K2/2k5/8/7r/8/1p6/2b5 b - - 0 1|2|1|1|2
3k4/8/7q/6N1/8/8/8/n3K3 w - - 0 1|0|1|0|1
8/8/5b2/5k2/8/6Kp/5n2/8 b - - 0 1|2|1|1|2
8/8/8/1k6/b1Pp4/8/7K/8 b - c3 0 1|2|2|1|2
8/8/2K3P1/1p6/k7/6p1/8/8 b - - 0 1|2|1|1|2
8/6N1/K7/7k/8/4b2P/8/8 b - - 0 1|0|1|0|1
8/7K/8/N7/8/5P2/7b/6k1 b - - 0 1|0|1|0|1
6k1/3b1R2/2R5/4K3/8/8/8/8 b - - 0 1|0|1|0|1
K7/3b3k/8/3P4/5r2/8/8/8 w - - 0 1|-2|1|-4|1
3K4/8/8/B7/4k3/p7/8/8 b - - 0 1|0|1|0|1
8/8/8/3P4/8/8/4K3/7k b - - 0 1|-2|1|-2|2
1b6/8/2k5/8/8/8/8/7K b - - 0 1|0|1|0|1
3R4/1k6/8/4K3/8/6P1/8/8 b - - 0 1|-2|1|-2|2
8/8/3p2p1/8/8/2k5/6K1/8 b - - 0 1|2|1|1|2
1k6/8/8/1p6/8/K3p3/8/8 b - - 0 1|2|1|1|2
8/8/8/3kN3/8/8/8/2K1N3 b - - 0 1|0|1|0|1
8/8/8/1N6/7n/8/K4B2/5k2 w - - 0 1|2|2|1|2
8/8/8/2r3N1/Qk6/8/K7/8 b - - 0 1|0|1|0|1
k7/8/8/8/5Pp1/8/8/1K6 b - f3 0 1|2|2|1|2
8/3B1k2/8/2q5/8/8/KB6/8 w - - 0 1|-2|1|-34|1
k7/8/4nq2/8/6K1/8/8/8 b - - 0 1|2|1|7|1
8/3P4/8/8/2Q5/6K1/4k3/8 b - - 0 1|-2|1|-2|2
4q3/8/8/8/2Pp4/K7/8/2k5 b - c3 0 1|2|2|1|2
8/8/5K2/2Pp4/5k2/8/8/8 w - d6 0 1|2|2|1|2
8/5rk1/8/4p2n/8/8/3K4/8 w - - 0 1|-2|1|-2|2
8/8/2K5/8/8/1k6/8/4N1Q1 b - - 0 1|-2|1|-8|1
4B3/8/8/8/3kP3/8/8/4K3 b - - 0 1|0|1|0|1
8/k7/8/8/3p4/2p2K2/8/8 b - - 0 1|2|1|1|2
5K2/8/8/8/7b/8/6kp/8 w - - 0 1|-2|1|-2|2
6K1/8/1q6/2k5/8/6R1/8/N7 w - - 0 1|-2|1|-14|1
8/8/6p1/4k3/8/5K2/8/8 b - - 0 1|2|1|11|1
8/8/8/8/8/qp1K2k1/8/8 w - - 0 1|-2|1|-2|2
8/1K6/8/2k5/7R/8/8/8 w - - 0 1|2|1|27|1
8/3K4/7Q/8/N7/8/Q7/3k4 w - - 0 1|2|1|1|1
8/b3N3/8/8/8/6k1/K7/8 w - - 0 1|0|1|0|1
6n1/5N2/8/2k5/8/2P5/8/4K3 w - - 0 1|0|1|0|1
8/8/1k6/8/pB6/6P1/5K2/8 b - - 0 1|-2|1|-4|2
8/3K4/1k6/8/8/1P6/6P1/8 b - - 0 1|-2|1|-2|2
8/6k1/8/2Pp4/8/8/1K6/8 w - d6 0 1|2|1|1|2
8/3n4/1B4b1/8/8/1K1k4/8/8 w - - 0 1|0|1|0|1
8/8/8/k1K5/8/8/8/2N5 b - - 0 1|0|1|0|1
7R/3kQ3/8/8/8/8/5p2/2K5 b - - 0 1|-2|1|-4|1
5r2/8/8/1p6/7k/1B6/7K/8 w - - 0 1|-2|1|-2|2
8/6k1/8/8/8/2Kp4/8/8 b - - 0 1|0|1|0|1
8/7p/8/1K6/p7/2k5/8/8 w - - 0 1|-2|1|-2|2
8/1B6/8/8/p1K5/8/3k2r1/8 b - - 0 1|2|1|3|1
3K4/8/3Q4/1Q6/8/2P5/6k1/8 w - - 0 1|2|1|1|2
3N4/4k3/8/2K1n3/8/8/3P4/8 w - - 0 1|2|1|3|1
2K5/6b1/8/8/1k6/8/8/8 w - - 0 1|0|1|0|1
7k/2P5/8/8/7K/8/8/8 w - - 0 1|2|1|1|2
8/8/3k4/2pP4/4K3/8/8/8 w - c6 0 1|0|1|0|1
8/2k5/8/3p4/8/1B4K1/7N/8 b - - 0 1|-2|1|-6|2
3k4/6B1/2K5/1R6/8/8/4P3/8 w - - 0 1|2|1|1|2
2Q5/8/3K4/7r/7k/8/8/8 w - - 0 1|2|1|37|1
8/1p6/8/2K5/8/1B6/8/3B3k b - - 0 1|0|1|0|1
B7/1p6/8/3p4/7K/8/8/k7 b - - 0 1|0|1|0|1
8/P7/1K6/7n/4k3/8/1N6/8 w - - 0 1|2|1|1|2
8/8/1k6/2p5/8/8/8/7K b - - 0 1|2|1|1|2
8/8/3k4/8/8/8/2K5/3B4 b - - 0 1|0|1|0|1
8/6K1/8/1k4B1/5pP1/8/8/8 b - g3 0 1|0|1|0|1
8/2q5/8/k7/4pP2/6K1/8/8 b - f3 0 1|2|2|1|2
8/2P5/7K/8/4k2n/8/8/4B3 w - - 0 1|2|2|1|2
7K/8/8/7P/4k3/8/2B2p2/8 b - - 0 1|2|1|2|1
8/8/2K5/8/8/8/5k2/5q2 w - - 0 1|-2|1|-16|1
8/1pr5/2k5/8/8/8/2K5/8 b - - 0 1|2|1|1|2
8/6k1/8/8/3R4/8/K7/1B6 b - - 0 1|-2|1|-20|1
8/3k4/2N5/8/8/q2N4/8/5K2 b - - 0 1|2|2|1|2
8/3k4/6q1/8/2K5/8/pp6/8 w - - 0 1|-2|1|-2|2
8/8/7P/3K4/6P1/3k4/8/4Q3 w - - 0 1|2|1|1|2
8/3K4/8/6Pp/8/k7/8/8 w - h6 0 1|2|2|1|2
8/6r1/8/8/7k/1n6/1K6/8 w - - 0 1|-2|1|-16|1
8/8/2r5/8/K1N5/8/8/1k6 w - - 0 1|0|1|0|1
5q2/8/8/1k6/8/K7/8/8 w - - 0 1|-2|1|-10|1
q7/8/8/6K1/8/3n4/1k6/8 w - - 0 1|-2|1|-12|1
8/1B6/8/8/7P/k2K4/5P2/8 w - - 0 1|2|1|1|2
8/8/5k2/8/8/1K2p3/8/8 w - - 0 1|0|1|0|1
3K4/n7/8/6k1/4Pp2/8/8/8 b - e3 0 1|2|2|1|2
8/8/5k2/8/BK6/8/3B4/8 w - - 0 1|2|1|28|1
8/7K/8/8/4b3/1p1P4/8/5k2 w - - 0 1|-2|1|-2|1
7k/8/8/8/2r5/5K2/8/8 b - - 0 1|2|1|29|1
8/2q4k/8/8/4pP2/8/8/5K2 b - f3 0 1|2|2|1|2
2N5/8/8/7k/8/8/2p1r3/K7 b - - 0 1|2|1|1|2
8/6k1/8/2B5/6P1/8/5K2/8 w - - 0 1|2|1|1|2
8/3r4/8/8/p2k4/8/4K3/8 w - - 0 1|-2|1|-2|2
2k5/8/3K1P2/8/8/8/8/8 b - - 0 1|-2|1|-2|2
k7/N7/8/8/1b1K4/8/8/8 b - - 0 1|0|1|0|1
8/8/8/7K/3P4/r7/2N5/1k6 b - - 0 1|2|2|1|2
8/8/2n5/2p5/8/8/k6K/8 w - - 0 1|-2|1|-2|2
8/2k4p/8/R3n3/8/8/8/K7 b - - 0 1|0|1|0|1
8/5n2/8/8/2N5/3p4/8/2k3K1 w - - 0 1|0|1|0|1
2k5/2P5/8/8/8/8/K7/8 w - - 0 1|0|1|0|1
1k6/8/8/2n5/8/6R1/4K3/8 b - - 0 1|0|1|0|1
8/3K4/5q2/8/4p3/4k3/8/8 w - - 0 1|-2|1|-4|1
8/4k3/N6B/5K2/8/8/1P6/8 w - - 0 1|2|1|1|2
8/8/8/5k2/8/8/6pB/6K1 b - - 0 1|0|1|0|1
7k/8/8/8/7P/K7/8/3R4 w - - 0 1|2|1|1|2
8/8/4k3/pP6/8/8/8/7K w - a6 0 1|2|2|1|2
1k6/8/8/2K5/8/8/8/3n3Q b - - 0 1|-2|1|-6|2
K7/6p1/8/8/8/5p2/8/k7 b - - 0 1|2|1|1|2
4k3/4BR2/8/3q4/8/2K5/8/8 b - - 0 1|2|2|1|2
8/8/8/8/8/4K1n1/1bk2p2/8 b - - 0 1|2|1|1|2
7k/8/6K1/2Pp4/2q5/8/8/8 w - d6 0 1|-2|1|-2|2
8/3K4/8/8/8/2P5/5p2/1k4b1 b - - 0 1|2|1|1|2
5n2/8/4k3/8/K7/1Q6/7N/8 b - - 0 1|-2|1|-12|1
8/8/8/1K4b1/8/5k2/8/8 b - - 0 1|0|1|0|1
8/8/8/3K4/7P/3k4/8/1q6 b - - 0 1|2|1|3|1
2r5/8/4k3/6K1/5p2/8/8/8 w - - 0 1|-2|1|-2|2
8/2B5/1N6/8/6K1/8/3k4/8 b - - 0 1|-2|1|-49|1
8/4K1k1/8/7n/2R3p1/8/8/8 b - - 0 1|0|1|0|1
2k5/8/8/8/6K1/8/2p5/3B1n2 w - - 0 1|0|1|0|1
8/1K6/8/2kp4/8/8/1B6/8 b - - 0 1|0|1|0|1
8/8/6k1/P7/3K4/4n3/8/8 w - - 0 1|2|2|1|2
8/1k5K/8/8/8/6n1/8/5N1n b - - 0 1|0|1|0|1
7k/8/2n5/6P1/8/8/8/4n1K1 b - - 0 1|0|1|0|1
6K1/8/p7/5p2/4r3/8/5k2/8 w - - 0 1|-2|1|-2|2
8/3P4/7K/6r1/4k3/8/8/8 w - - 0 1|2|2|1|2
3r4/8/2N2k2/6r1/8/1K6/8/8 w - - 0 1|0|1|0|1
5K2/8/1k6/8/8/8/7B/8 w - - 0 1|0|1|0|1
8/8/8/8/K7/8/8/2nk4 b - - 0 1|0|1|0|1
8/8/8/2K5/8/4k3/5q1r/8 b - - 0 1|2|1|5|1
8/8/4K3/8/5Rr1/8/8/7k b - - 0 1|2|2|1|2
8/8/p4P2/3K4/8/8/7k/8 w - - 0 1|2|1|1|2
5k2/1r6/8/8/2K5/7n/8/8 w - - 0 1|-2|1|-20|1
2K4q/8/p7/8/8/8/8/1k1b4 w - - 0 1|-2|1|-2|2
5r2/8/8/8/1P2P3/3K4/8/6k1 w - - 0 1|0|1|0|1
4k3/8/6K1/8/8/P7/1b6/3n4 b - - 0 1|2|2|1|2
8/8/8/8/8/8/4k1P1/K7 w - - 0 1|2|1|1|2
4k2r/8/8/3K4/8/7p/7B/8 b - - 0 1|2|1|5|1
7k/8/K7/7B/5Pp1/8/8/8 b - f3 0 1|0|1|0|1
8/8/7B/6K1/8/8/3k4/8 w - - 0 1|0|1|0|1
5K2/5n2/8/8/1p6/7b/8/6k1 b - - 0 1|2|1|1|2
