# fen|stockfish 15.1 nnue value|adjusted value, side to move; net nn-ad9b42354671, generated by tools/nnue_reference.py
r1b1r3/p1qk1pp1/np2pb2/2p4p/3n1PP1/P1P2B2/NP1PP2P/RNBQ1RK1 w - - 2 13|379|381
r1bkr3/p4pp1/1pBqpb2/2p4P/1n1n1P2/P1P3Q1/NP1PP2P/RNB2RK1 b - - 6 16|532|551
r1bkr3/p4pp1/1pB1p3/2p1b2P/1n1nqP2/PPP5/N2PPQ1P/RNB1R1K1 b - - 2 19|-169|-164
r2kr3/p5p1/bpn1pp2/2p1b1QP/1n1q1P1P/PPP5/N2PP3/RNB1R1K1 w - - 1 23|-611|-595
r3r3/p2k2p1/bpn1pp2/2p1b1QP/1P1q1P1P/PP6/N2PP3/RNB1R2K b - - 0 24|1211|1238
r1b1r3/p2k2p1/1pnbpp2/2pQ3P/PP3P1P/1P1P4/N3P3/RqB1R2K w - - 2 28|-628|-614
r1bqkb1r/pppp1ppp/2n5/1B6/4p3/2N2N2/PPPP1RPP/R1BQ2K1 w kq - 0 3|1224|1226
r1bq1b1r/1pppkp1p/p1n5/6p1/4p3/2N2NP1/PPPPBR1P/R1BQ1K2 b - - 0 6|-735|-727
r2q1b1r/1pp1kp1p/p1np4/1B4p1/1P2p3/2N2NPb/P1PP1R1P/R1BQ1K2 w - - 1 9|518|506
r2q1b1r/1pp1np1p/p2p1k2/3B2p1/1P2p3/2N2NPb/P1PP1R1P/R1BQK3 b - - 6 11|-1333|-1336
r2q1b1r/1p2np1p/2pp1k2/p2B1bp1/NP2p2N/3P2P1/P1P2R1P/R1BQK3 b - - 0 14|-780|-780
r2q1b1r/1p3pkp/2ppb3/p2n2p1/NP5N/B2p1RP1/P1P4P/2RQK3 w - - 0 18|-644|-622
rnb1kb1r/ppp2ppp/1q2pn2/8/3P4/2NB3P/PPP2PP1/R1BQK1NR w KQkq - 1 3|232|237
rn2kb1r/pppb1ppp/5n2/4p3/3qN3/7P/PPP1BPPN/R1BQK2R b KQkq - 3 6|574|582
rn2kb1r/ppp2pp1/B4n1p/2q1p1B1/b3N3/7P/PPP2PPN/R2QK2R b KQkq - 5 9|740|751
rn2kb1r/pp3pp1/B1p2n1B/2q1p2Q/4N1b1/P6P/1PP2PPN/R3K2R b KQkq - 0 12|1021|1048
rn2kb1r/p4p2/p1p2B2/4p2Q/4N1b1/P6P/1PP2KPN/R6R w q - 1 16|2290|2231
rn2kb1r/p4p2/p1p2B2/4pQ2/P1P1N3/7b/1P3KPN/R6R b q - 1 18|-1668|-1600
rn2k1r1/p2b1p1Q/2pb1B2/p1P1p3/P3N3/6P1/1P3K1N/R6R w q - 1 22|3082|3049
rn4r1/p2b1k2/2p2B2/p1b1p3/P3N3/R5P1/1P4KN/7R b - - 1 24|-167|-176
qn1rbkrb/pppp2pp/3np3/5p2/1N4P1/P2P4/1PP1PP1P/QN1RBKRB b KQk - 0 10|-193|-199
q1r1bkrb/p1pp2pp/Npnnp3/8/5pP1/P2P1P1P/1PP1P3/QN1RBKRB w KQk - 1 14|-150|-145
q1r1bk1b/p1pp3p/NPn1p1r1/1n4p1/5pP1/P2P1P1P/1P1NP3/Q2RBKRB b KQ - 0 17|226|237
qr2b3/pPNpk2p/2n1p1rb/1n4p1/5pP1/P2P1P1P/1P1NP1B1/Q2RBKR1 w KQ - 1 21|754|748
N2rb3/2Npk2p/p1n1p1rb/6p1/4NpP1/P1nP1P1P/1P2P1B1/2QRBKR1 w KQ - 1 24|3084|3001
N2rN3/3p3p/p3p1rb/2k3p1/1n3pP1/P1NP1P1P/4P1B1/2QRBKR1 w KQ - 0 27|6111|6051
N7/3pr2p/p3p1rb/3k2p1/1n2N1P1/P2PQP1P/4P1B1/R3BKR1 b K - 3 30|-4441|-4361
N7/3pr1rp/p3p2b/6p1/1nkP2P1/P1N1QP1P/4PBB1/R4KR1 w K - 5 34|4147|4075
N7/3p1rrp/p3pQ2/3n2b1/2kP2P1/P1N2P1P/4PKB1/R3B1R1 b - - 6 37|-2016|-1892
N7/3p1rrp/p3p3/3n4/3P2PQ/Pk2PP1P/5KB1/RN2B1R1 w - - 3 41|5193|5106
8/2n2r1Q/pN1pp1r1/8/3P2P1/Pk2PP1P/3B1K2/RN3BR1 b - - 1 44|-4785|-4668
N7/7Q/p2pp3/1n6/3P2r1/Pk2Pr1P/3B4/RN2KBR1 b - - 1 47|-4016|-3912
rnbqkbnr/pp1pp1pp/2p2p2/8/4P3/1P6/P1PP1PPP/RNBQKBNR w KQkq - 0 3|232|236
rnbqkbnr/3pp2p/1pp2pp1/pQ6/P3P2P/1P6/2PP1PP1/RNB1KBNR b KQkq - 0 6|59|63
1nbqk1nr/3p4/rpp2ppp/p1Q1p3/PbP1P1PP/1P6/3P1P2/RNB1KBNR w KQk - 1 10|-525|-536
1n1qk1nr/rb1p4/1ppQ1ppp/p3p1P1/PbP1P2P/1PN5/3P1P2/R1B1KBNR b KQk - 0 13|29|36
3qk3/rb1pn2r/npp2ppp/p2Qp1P1/PbP1P2P/1PN4R/3P1P2/R1B1KBN1 b Q - 6 16|442|452
b2q1k1r/r2pn3/npp2pp1/p3p1Pp/PbPQP2P/1PN4R/1B1PKP2/R4BN1 w - - 2 20|-136|-145
b2q1k1r/r2pn3/2pb1pp1/ppn1Q1Pp/P1P1P2P/1PNP3R/1B2KP2/3R1BN1 b - - 0 23|-114|-106
b4k1r/r2pn3/1qp2pp1/ppn1b1Pp/P1PQP2P/1PNP1R2/4KP2/2BR1BN1 w - - 7 27|449|451
b4kr1/1rNpn3/1qp2pp1/p1n1b1Pp/p1P1P2P/1P1P1R2/3BKP2/Q2R1BN1 b - - 3 30|429|434
b5r1/1rNpn1k1/1qp1npp1/p5Pp/pBPbP2P/1P1P1R2/4KP2/Q2R1BN1 b - - 9 33|851|865
b3r3/1rNpn1k1/q1p1npp1/p1P1P1Pp/pB1b3P/1P1P3R/4KP2/3R1BN1 w - - 1 37|-2328|-2255
b3r3/1r2n1k1/N1ppn1p1/p1P1p1Pp/PB5P/2bP2R1/4KP2/3R1BN1 w - - 1 40|-780|-791
b3r1k1/1r2n3/N1ppn1p1/B1P1p1Pp/P6P/2bP1KR1/3RBP2/6N1 b - - 4 43|1094|1125
b2r4/1r2nkn1/N1pp2p1/B1P1p1Pp/P3KPRP/2bP4/3RB3/6N1 w - - 1 47|-310|-327
b2B2n1/1r3kn1/N1p3p1/2Ppp1Pp/P4PRP/2bPK2N/3RB3/8 b - - 3 49|-252|-191
b2B2k1/6n1/N1p2np1/2Ppp1Pp/P4PRP/1rbP3N/R3BK2/8 w - - 8 52|982|952
b2B2k1/2N3nn/2p3p1/2Pp2P1/P2PpPpP/Rrb1K2N/4B3/8 b - - 3 55|-131|-128
b2B4/2Nn1kn1/2p3p1/P1Pp1PP1/3Pp1pP/1rb1K2N/4B3/R7 b - - 2 58|33|42
b2B4/5k2/2p3p1/P1PNnnP1/1b1Pp1pP/1r1B3N/5K2/R7 b - - 1 61|555|567
r1bqkbnr/ppppp1pp/n7/5p2/P7/2N5/1PPPPPPP/R1BQKBNR w KQkq - 0 3|162|160
rnb1kbnr/pp1pp1pp/2p5/q4p2/P3N3/1P5P/2PPPPP1/1RBQKBNR b Kkq - 2 6|569|590
rnb2bnr/pp1pp1pp/q1p3k1/6N1/P4p2/1P5P/2PPPPP1/1RBQKBNR w K - 2 10|1259|1278
rnbk1b1r/pppq2pp/4pn2/3p1p2/1Q1P4/5NP1/PPP1PPBP/RNB1K2R w KQ - 4 3|67|66
rnb1kb1r/p1p1q1pp/4pn2/1p1p1p2/1Q1P4/2N1BNPP/PPP1PPBR/R3K3 b Q - 3 6|312|328
rn1k1bnr/p1pbq1pp/3Qp3/1p1p1p2/3P4/2N1BNPP/PPP1PPBR/R3K3 w Q - 10 10|-115|-127
rnk2bnr/p1p3p1/2b1p3/1p1p1p1p/1Q1P4/2N1BNPP/PPP1PPBR/R3K3 w Q - 3 13|2413|2339
rnk2bn1/pbp3pr/4p3/1p1pNp2/1Q1P3p/2N3PP/PPP1PPBR/R1B1K3 b Q - 3 16|-1568|-1478
rnk3n1/2p3pr/p2bp3/1p1b4/PQ1P1p1p/2N2NPP/1PP1PP1R/R1B1K3 w Q - 0 20|2265|2225
rn3bnr/2pk2p1/p3p3/Pp1b4/Q2P1pPp/2N2N1P/1PP1PP2/R1B1K2R b Q - 2 23|-2137|-2089
rn2kbn1/2p3p1/p1b1p3/PQ5r/R2P1pPp/2N1BN1P/1PP1PP2/4K2R b - - 4 26|-891|-816
rn1k1b1Q/2p1n3/p1b1p3/P5p1/R2P1pPp/2N1BN1P/1PPKPP2/7R b - - 1 29|-1545|-1435
rn3Qn1/2pk4/p3p3/P2b2p1/R2PNpPp/4BN1P/1PPKPP1R/8 b - - 4 32|-2854|-2729
r1b5/2pk4/p1n5/P3p1p1/1R1PNpPp/4BN1P/1PPKPP1R/8 w - - 0 36|2398|2340
r7/2pb4/p3k3/P3N1p1/1R1n1pPp/2N1B2P/1PPKPPR1/8 w - - 2 39|2102|2036
r7/2p5/p3k3/Pb2N1p1/3R2Pp/2N1p2P/1PP1PP2/2K3R1 b - - 1 41|-1754|-1686
bbqrkrnn/p1pppp1p/6p1/1p6/2PP4/8/PP2PPPP/BBQRKRNN w KQkq - 0 3|130|132
1bqrkrnn/p2ppp2/2Q3pp/1p6/2PP4/3b4/PP1KPPPP/BB1R1RNN b kq - 2 6|374|386
1bqrkr1n/3ppp2/pQ4p1/1p5p/2PPn3/3b4/PP1KPPPP/BB1R1RNN w kq - 4 10|-405|-415
1bqrkr1n/3ppp2/pQ4p1/7p/2pP3P/3bKN2/PP2PPP1/Bn1R1R1N w kq - 0 13|-993|-960
1bqrkr1n/3p1p2/1Q4p1/p3p2p/2pP3P/PP3N2/4KPP1/Bn2RR1N b kq - 0 16|69|68
b1qrknrn/pp1ppppp/8/2p1b3/P7/2P5/1P1PPPPP/BBQRKNRN w KQkq - 1 3|50|54
b2rknrn/pp1qpp2/3p4/2p1b1p1/P3P3/2P5/1P1P1PPP/BBQRKNRN w KQkq - 1 6|69|69
b1kr1nrn/pp2pp2/3p4/2p3p1/q1P1Pb2/8/BP1P1PPP/B1QRKNRN b - - 3 9|531|540
b1krqn1n/pp2ppr1/3p4/2p3p1/2P1Pb2/1B3P2/1PQP2PP/B2RKNRN w - - 1 13|-3|-5
b1kr1n1n/3qppr1/p2p4/1pp3p1/2P1Pb2/1B2NPP1/1P1P3P/B1QRK1RN w - - 0 16|15|12
b1kr1n1n/3qppr1/p2p4/1ppN2p1/2P5/1B1P1PRP/1P6/B1QRK2N b - - 2 19|-286|-266
b2r3n/k2qppr1/p2p4/1pp3p1/2P2N2/1B1P1PRP/1PK5/B1QR3N w - - 3 23|1330|1312
3r3n/k3pp1r/p2p4/1pp2qp1/2P2NR1/1B1P1b1P/1PK1Q3/B2R3N b - - 1 26|152|195
3r3n/k3pp2/p2pq2r/1pp5/2P2pR1/1B1P1b1P/1P1K3Q/B2R3N w - - 2 29|-809|-828
3r3n/k3pp2/p2p4/1pp5/2P3Q1/1B1P1b1P/1P1K4/B3q2N w - - 0 32|-1115|-1103
3r3n/k4p2/p2pp3/1pp5/B1P3Q1/3P3P/1P6/BK1bq2N b - - 1 34|1350|1351
k2r3n/5p2/p2pp3/2p3Q1/p1P4P/1b1P2q1/1P6/BK5N w - - 4 38|-754|-705
3r3n/k4p2/p2pp3/2p4P/p1P1Q3/1b1P3q/1P6/BK5N b - - 2 40|1798|1774
7n/5p2/pk1pp3/2p4P/p1PP4/1b4rq/1P6/BK5N w - - 1 44|-3012|-2894
7n/2k2p2/p2pp1rP/2P5/p1P5/1bq5/1P6/B1K4N w - - 3 47|-2707|-2592
4k2n/5p2/p2Pp1rP/2P5/p7/2P5/8/B1Kb3N w - - 1 50|-413|-372
r1bqkbnr/ppp1pppp/2n5/3p4/2P5/7N/PP1PPPPP/RNBQKB1R w KQkq - 0 3|-121|-119
r1bqkbnr/ppp1p1p1/5p1p/3p4/1nP2P2/7N/PP1PP1PP/RNBQKBR1 w Qkq - 1 6|-196|-196
r2qkbnr/p1p1p3/1p3ppp/3p4/1nP2P2/N4Q1b/PP1PP1PP/R1B1KB1R b Qkq - 1 9|626|605
r3kbnr/p1p2q2/np2pppp/3p4/2P2P2/N2BPQ1P/PP1P3P/R1B1K2R w Qkq - 3 13|112|106
Q5nr/p1p1kqb1/np2pppp/8/2Pp1P2/1P1BP2P/P1NP3P/R1B1K2R w Q - 1 16|2396|2384
6nr/p1p1kqb1/np2pppp/8/2PpBP2/1P2P2P/PBNP3P/R3K2R w Q - 4 19|-448|-415
6nr/p2k1qb1/np2pppp/2p5/2PpBP2/NP2P2P/PB1PK2P/1R5R b - - 1 22|1870|1869
6nr/p1nk2b1/1p2pqpp/2p2p2/2PpBP2/NP2P2P/PB1PK2P/1RR5 b - - 5 25|1925|1920
7r/p1nk2b1/1p1q1npp/2p1pp2/1PPpBP2/N3P2P/PB1PK2P/4R1R1 w - - 1 29|-1423|-1401
5q1r/pBnk2b1/6pp/1pp1pp2/1PPP1Pn1/N6P/PB1PK2P/4R2R w - - 0 32|-457|-422
2B2q1r/p5b1/n1k3p1/1pp1pp1p/1PPP1Pn1/N6P/PB1PK2P/R3R3 w - - 2 35|-11|37
2r5/p5b1/n1k2qp1/1pp1pB2/1PPP1Pnp/N4K1P/PB1P3P/3R1R2 b - - 1 38|832|809
6r1/p7/n1kq1b2/1pp1pp2/1PPP1Pnp/N6P/P2P2KP/B2RR3 w - - 4 42|-717|-651
4r3/p2k4/n2q4/1ppPRpb1/1PP2Pnp/N6P/P2P3P/B2R1K2 b - - 0 45|1260|1218
5r2/p2k4/n2q4/2pPRp2/1PP2bnp/N6P/P2P3P/B2R2K1 w - - 4 49|-1240|-1198
5r2/N2k4/n7/2pPqp2/PPPB1b1p/4n2P/3P3P/3R2K1 b - - 0 52|2385|2318
qn1r1bkr/ppp2p1p/1n1pp1p1/Bb6/3P4/P4P1P/1PP1P1PK/QNNR1B1R b kq - 2 10|142|138
qn1r1bkr/pp3p1p/3pp1p1/BbpP4/n7/PN3P1P/QPP1P1PK/1N1R1B1R w kq - 1 14|-66|-63
qn1Bbbkr/pp3p1p/3p4/2pp2p1/n7/P4P1P/QPPNP1PK/1N1R1B1R b k - 3 17|-265|-228
qn2b1kr/pp2bp1p/1n1p4/3p2B1/2p3p1/PN3PPP/QPP1P2K/1N1R1B1R w k - 2 21|755|731
q3brk1/pp2bp1p/1n1pN3/3Rn3/2p3pB/P4PPP/QPP1P2K/1N3B1R b - - 6 24|-124|-84
3Nr1k1/pp2bp1p/1nbp2n1/3R4/2p3PB/P4PP1/QPP1P1K1/1N3B1R w - - 1 28|2080|1970
3Nr1k1/pp1nbp1p/3p2n1/7R/2p1P1PB/P4PP1/1Pb3K1/QN3BR1 b - - 1 31|-1372|-1255
3Nrnk1/1p2bp1p/3p4/p6R/2B1PnPB/P5P1/1P3K2/QN1b2R1 w - - 1 35|2429|2336
3Nr1k1/1p2bp2/3pn2p/p6R/4P1PB/PP4P1/5K2/QN1b1BR1 b - - 2 38|-2240|-2112
3Nr1k1/5p2/Bp1p1b1p/p5Bn/4P1P1/PP4P1/5K2/QN1b3R w - - 2 42|1765|1675
3N1rk1/5p2/Bp1p3p/p5Pn/3bP3/Pb2B1P1/5K2/QN5R w - - 1 45|1748|1666
3N1rk1/5p2/Bp1p3p/p5Pn/4P1P1/P3B3/2b2K2/bN2R3 b - - 1 48|-606|-596
3N1r2/5pkn/1B1p3p/6P1/p3P1P1/P2B1K2/2b5/bN2R3 w - - 1 52|890|877
3N1r2/2B2pk1/7p/3p2n1/p1B1P1P1/P3K3/1bb5/1N5R b - - 1 55|518|551
5rk1/2B2N1n/7p/3p4/p1BbPKP1/P7/8/1N1bR3 w - - 1 59|401|370
r5kb/2B2N1n/7p/3p2P1/p3PK2/PB6/3N4/3bR3 w - - 3 62|1102|1080
1r4k1/5Nb1/7p/B2p1Kn1/p3P3/PB6/3N4/6R1 b - - 3 65|-1022|-973
1r6/5Nbk/7p/3p1KR1/4P2n/PpB5/3N4/8 w - - 4 69|-349|-387
8/4r2k/8/3p2R1/1B1bPKNn/Pp6/3N4/8 b - - 4 72|-396|-366
8/7k/4r3/3RN3/1B2PK2/Pp3n2/3N1b2/8 w - - 3 75|1294|1279
8/7k/5r2/8/1BN1PK2/PR6/3N4/4n1b1 w - - 3 78|1268|1240
6k1/8/7r/8/1BN1P1K1/P6R/3N4/4n1b1 w - - 9 81|1527|1504
rnbqkbnr/p1ppppp1/1p5p/8/8/2N4N/PPPPPPPP/R1BQKB1R w KQkq - 0 3|60|57
r1bqk1nr/p1pp1pp1/1pn1p2p/8/Pb6/2N4N/1PPPPPPP/R1BQKB1R w KQkq - 1 6|-134|-135
r1bnk1nr/p1p1qpp1/1p1pp2p/6N1/Pb1P4/R1NQ4/1PP1PPPP/2B1KB1R b Kkq - 4 9|455|471
1rbnk1nr/2p1qpp1/pp2p2p/2bp2N1/P1QP4/R1N2P2/1PP1P1PP/2B1KBR1 w k - 1 13|-626|-642
1rbnk1nr/2p1qpp1/1Q1bp3/1p1p2Np/PP1P3P/R1N2P2/2P1P1P1/2B1KBR1 b k - 0 16|726|753
rnb1kb1r/pp1q1ppp/2p2n2/3pp3/2B1P3/P2P1N2/1PP1KPPP/RNBQ3R b kq - 0 2|428|435
rnbqkb1r/5ppp/p1p2n2/1p1pp3/2B1P3/P1PP1N2/1P1QKPPP/RNB1R3 b kq - 1 5|808|828
rn1qkbr1/1b3ppp/p1p5/1p1np3/2p1PQP1/P1PP1N2/1P1NKP1P/R1B1R3 w q - 1 9|-728|-707
rn1qkbr1/1b4pp/p1p5/1p2p1N1/1Pp1P1P1/2PP4/1P1NKP1P/R1B1R3 b - - 0 12|2391|2349
r3k1r1/1b5p/n1p3pb/1p2p1N1/1PpqPPP1/2PP4/1P1N3P/2BKR3 w - - 0 16|-1837|-1740
5kr1/rb5p/n1p3pb/1p2P3/1Pp1P1P1/2Pq2RN/1P1N3P/2BK4 b - - 0 19|2215|2125
5kr1/rb6/n1p3pp/1p2P3/1Pp1P1P1/2P4N/1P1bq2P/2BKR3 w - - 2 22|-1769|-1636
5kr1/rb6/n1p3p1/1p2P2p/1Pp1P1P1/2P4q/1PKB1N1P/4R3 w - - 1 25|-1151|-1040
5k1r/rb6/n1p3p1/1p2P2p/1Pp1P1P1/2q5/1P1B3P/1K1NR3 w - - 2 27|-867|-745
5k1r/1b6/2p3p1/1N2P2p/r1p1P1PP/8/1PnB4/1K1R4 b - - 0 30|923|903
5k1r/8/1r4p1/1Np1P1Pp/2p1b2P/8/1PnR4/1KB5 w - - 0 34|-1160|-1137
5kr1/8/1r1NP1p1/2p3Pp/7P/2p2b2/1Pn4R/1KB5 w - - 4 37|-528|-494
6r1/4P1k1/3N2p1/1rp3Pp/6bP/2p5/1Pn4R/1KB5 w - - 3 40|-200|-158
2N5/4P2k/6p1/1rpr2Pp/5BbP/2p5/1Pn3R1/1K6 b - - 10 43|1193|1161
8/4P2k/3Nb1p1/r1pr2Pp/5B1P/2P5/4R3/nK6 b - - 2 46|92|66
7k/8/3rb1p1/2p3Pp/5B1P/rnP5/4R3/1K6 w - - 0 50|-583|-506
7k/3r4/3rb1p1/2p3Pp/4R2P/2P5/1K5B/n7 b - - 7 53|2127|2106
6k1/1r6/4b1p1/2p3Pp/1R1r3P/2P5/1K6/n5B1 b - - 13 56|2293|2275
3r3k/1R6/4b1p1/2p3Pp/1P5P/K7/8/n5B1 w - - 3 60|-740|-734
7k/5b2/1P4p1/2p3Pp/6rP/K7/8/n7 b - - 0 63|3106|3057
7k/5b2/1P4p1/2p3Pp/2r4P/8/1K1n4/8 w - - 5 66|-1840|-1756
rnbqk2r/p1p1bppp/4pn2/1p1p4/P1PP4/2N2N2/1P2PPPP/R1BQKB1R w KQkq - 0 2|231|233
rnbqk2r/p1p2pp1/4p3/1pbn3p/P2P4/2N2N2/1P1BPPPP/1R1QKB1R w Kkq - 2 5|734|745
rnbqk2r/2p2pp1/P3p3/2b4p/n2PP3/4BN2/1P3PPP/1R1QKB1R b Kkq - 2 8|87|79
r1b1k2r/6p1/nqp1pp2/2b4p/n1BPP3/4BN2/1P3PPP/1RQ1K1R1 w kq - 0 12|-47|-30
r1b1k2r/3q2p1/n1p2p2/2b1p2p/n2PP3/4B3/1P2BPPP/1RQK1RN1 b kq - 5 15|1061|1058
2b1k3/r4qpr/n1p2p2/2bPp2p/n3P3/3BB3/1P2NPPP/1RQK1R2 w - - 3 19|-215|-198
2b1k3/r1q3pr/1npP1p2/2b1p2p/1n2P3/2NBB3/1P1K1PPP/1RQ2R2 b - - 6 22|1064|1065
2b1k3/r1q3pr/1npP1p2/4p2p/1n2P3/2NBbP2/1P4PP/R1QK1R2 b - - 0 25|1559|1532
2b1k3/r1q3pr/1npP4/1B1npp1p/N3P3/4QP2/1P4Pb/R2K1R2 w - - 0 29|-1037|-997
2b1k3/r2q2pr/BnpP3Q/3np2p/N7/R4p2/1P4Pb/3K1R2 w - - 0 32|-1181|-1125
2bk4/3q2pr/rnpP1n2/4p1Q1/N7/R4p2/1P4Pb/3K1R2 b - - 1 35|2316|2253
4q3/1b1k2pr/rnpP1n2/4p1Q1/N7/2R1Rp2/1P4Pb/3K4 b - - 7 38|1538|1463
8/1b1k2pr/rnpPqn2/4p1Q1/N7/4Rp2/1PR3Pb/2K5 w - - 14 42|-1192|-1107
b7/3k2p1/rnpPqn2/4p3/N5Pr/2R2Q2/1PR4b/2K5 b - - 0 45|2112|2057
rnbqkbnr/pp1pp1pp/8/2p2p2/P7/1P6/2PPPPPP/RNBQKBNR w KQkq - 0 3|48|48
rnbq1b1r/pp1kp1pp/7n/P1pp1p2/8/BP2P3/2PP1PPP/RN1QKBNR w KQ - 2 6|388|388
r1bq1b1r/pp1kp1pp/8/P1ppnp2/1B2P1n1/1P1P4/2P2PPP/RN2KBNR b KQ - 0 9|2850|2794
r1bq1b1r/pp1k3p/4p3/P2Pnpp1/2p5/1P1P4/2P2nPP/RNB1KBNR w KQ - 0 13|-1871|-1790
1nbbnrkr/p1p1ppp1/3p4/1p3P1p/3P1R1P/1q1N4/PPP1P1P1/QNBB2KR w Kkq - 4 11|465|474
1nbbnrkr/2p2pp1/3pp3/pp3P1p/2PP3P/2NN1R1R/qP2P1P1/Q1BB2K1 b kq - 1 14|-25|-27
1nbbnrkr/2p2pp1/3pp3/ppN2P1p/1qPP3P/2N3R1/4P1P1/2BB2KR b kq - 3 17|2553|2481
2b1nrkr/2p2pp1/2n5/ppp2pbp/1qPP3P/6R1/3BP1PK/1N1B3R w kq - 0 21|-2289|-2169
2b1nrkr/2p2pp1/1P6/p1pPnpbp/7P/4q1R1/4P1PK/1NBB3R b kq - 0 24|2937|2836
4nr1r/1Pp2p1k/b5p1/2pPnpbp/p6P/4q1R1/2B1P1PK/1NB3R1 w - - 0 28|-1997|-1884
1N3r1r/2p2pnk/b5pb/2pP1p1p/p6P/1BNnq1R1/4P1PK/2B3R1 w - - 3 31|-1344|-1233
1N3rr1/2p2pnk/b6b/2pP1ppp/p1B4P/4q1R1/3NPnPK/2B3R1 w - - 2 34|-1521|-1414
1N1r2r1/2p2pnk/b6b/2pP1ppp/p1B4P/6K1/3NPnP1/2B3R1 w - - 1 37|-1527|-1478
1N1r2r1/1b4nk/2pP1p1b/2p1Nppp/p1B4P/4P1K1/5nP1/2B3R1 b - - 2 40|1964|1932
1N3rr1/1b4nk/2NP1p1b/1Bp2ppp/p5nP/4P1K1/6P1/2B3R1 w - - 1 44|-1602|-1565
1Nr3r1/6nk/2bP1p1b/2p2ppp/p1B4P/4P1K1/1B4Pn/1R6 b - - 5 47|1867|1807
2r3r1/6nk/N2P1p1b/2p2ppp/2B1b2P/p3P1K1/3B3n/1R6 b - - 1 50|2377|2318
2r4r/1R4nk/N2P1p2/2p2p1p/2B3pP/p2bb1K1/3B3n/8 w - - 2 54|-1809|-1732
5r2/2r3nk/3P1p2/2p4p/2B2ppP/p1Rbb1K1/3B3n/8 w - - 0 57|-3010|-2925
5r2/3r2nk/3P1p2/2p4p/2B2ppP/R3b3/3B4/3b3K w - - 1 60|-1889|-1820
5r2/1r5k/B2P1p2/2p2n1p/5ppP/6R1/3b4/3b3K b - - 1 63|3618|3553
4r3/7k/3P1p2/2p4p/3n1ppP/Rr6/3b4/3b1BK1 w - - 8 67|-2477|-2383
8/7k/3P1p2/2p4p/3n1ppP/3r4/R2b3K/3brB2 b - - 15 70|3717|3645
3N4/7k/5p2/2p1rn1p/5ppP/3r4/1R1bb2K/5B2 w - - 3 74|-2203|-2119
3N4/7k/5p2/1bp1rn1p/5ppP/7B/1R1b4/7K w - - 1 76|-1531|-1484
3N3k/8/5p2/1bp2n1p/4rppP/1R6/3b4/6KB b - - 8 79|2076|2048
3Nb2k/8/5p2/2p2n1p/5ppP/8/r6K/2b4B w - - 2 83|-2868|-2804
r1b1k2r/pp1pqppp/2n2n2/4p3/1b2PN2/2N5/PPP2PPP/R1BQKB1R w KQkq - 4 3|-133|-130
r1bqk2r/pp1p1ppp/3bNn1B/4p3/3nP3/2N5/PPP2PPP/R2QKB1R b KQkq - 11 6|228|231
r1bqk1nr/pp3p1p/3bp2B/1n2p1p1/1P2P3/8/P1P2PPP/R1NQKB1R w KQkq - 0 10|-793|-773
r1b1k2r/pp2np1p/3bp2B/qn2p3/1P2P1p1/6P1/P1P1QP1P/R1NK1B1R w kq - 1 13|-711|-686
r1b1k2r/ppn1np1p/3bp3/4p3/4P1pP/P5P1/2PBQP1R/RqNK1B2 b kq - 2 16|929|906
r1b2r1k/ppn1np1p/3bp3/4p3/1B2P1pP/P5P1/2P2PR1/q1NKQB2 b - - 3 19|2225|2179
r1b2r1k/1pn1n2p/4pp2/p3p3/1b2P1pP/P5P1/2PK1P1R/q1N1QB2 w - - 0 22|-2805|-2728
r1b1r3/1p2n1kp/n3pp2/p3p3/1b2P1pP/P2B2PR/2P2P2/q1NKQ3 b - - 7 25|3229|3173
r1b1r3/1pq1n2p/n3pp1k/p3p3/1b2P1pP/P1P3PR/4BP2/2NK3Q b - - 0 28|2789|2720
r1b1r3/1pq1n2p/nb2pp1k/p3p3/4P2P/2PN2Pp/3KBP2/7Q w - - 4 32|-2391|-2256
r1br4/1p5p/nb2ppnk/p3p3/4P2P/2KN2Pp/5PQ1/5B2 b - - 4 35|2456|2419
r1b5/bp5p/n3ppn1/p2rp2k/4P2P/2KN1PPp/3Q4/5B2 w - - 3 38|-847|-769
r1b5/bpn4p/4p1n1/3Pp1pk/p6P/2K2PPB/1N6/8 b - - 0 41|3038|2959
r1b5/b1n1n2p/1p6/3pp1pk/p5BP/2K2PP1/1N6/8 b - - 1 44|2152|2045
r1b5/b1n1n1k1/1p5p/3ppBP1/p7/5PP1/1NK5/8 w - - 0 48|-2624|-2544
r1b5/b3nBk1/1p5p/1n1pp1P1/p4P2/3K2P1/1N6/8 b - - 4 51|3732|3676
r7/bb2nBk1/1p5p/3pP1P1/3n4/p2K2P1/1N6/8 b - - 0 54|3993|3948
4r3/bb2nBk1/1p4P1/3pP2p/3n2P1/p2K4/8/3N4 w - - 1 58|-2251|-2161
1b2r3/1b2nBk1/6P1/1p1pP2p/6P1/p1K5/4n1N1/8 w - - 4 61|-2303|-2214
2r3B1/1b2n1k1/3b2P1/1p1p3p/6P1/p2K4/4n3/4N3 w - - 2 64|-2121|-2020
8/1brBn1k1/6P1/1pbp3p/3n1KP1/p7/8/4N3 b - - 9 67|4713|4674
6k1/1br5/6P1/1Bbp3P/5K2/p4Nn1/8/8 w - - 1 71|-2543|-2513
